normalized_name,description,category,price_usd,cash_price_usd,online_price_usd,pdf_price_usd,excel_codes,pdf_codes,sources
funny dip,Funny Dip,012 - SNACK,0.21000000000000002,0.2,0.21000000000000002,,FUNN,,excel
garlic,Garlic,013 - SOUPS,,,0.0,,GARLI,,excel
garlic kg,Garlic - kg,,8.0,,,8.0,,VGAR,pdf
geisha,Geisha,019 - TOILETRIES,1.05,1.0,1.05,,GEI,,excel
gemsquash kg,Gemsquash kg,,1.0,,,1.0,,VGM01,pdf
gentel magic lotion,Gentel Magic lotion,005 - COSMETICS,1.05,1.0,1.05,,GMG,,excel
gentel magic serum,Gentel Magic Serum,005 - COSMETICS,1.575,1.5,1.575,,GMS,,excel
gentel magic soap,Gentel Magic Soap,005 - COSMETICS,1.05,1.0,1.05,,GNT,,excel
gentle magic cream,Gentle Magic Cream,005 - COSMETICS,1.05,1.0,1.05,,GML,,excel
gentle magic oil 50ml,Gentle Magic Oil 50ml,005 - COSMETICS,2.625,2.5,2.625,,GNTO,,excel
gik 750ml,Gik 750ml,004 - CLEANING PRODUCTS,,,0.0,,GK,,excel
ginger kg,Ginger - kg,,5.0,,,5.0,,VGI130,pdf
ginger zinga,Ginger Zinga,002 - BEVERAGES,,,0.0,,GINZNG,,excel
goldenfresh biscuits,GoldenFresh Biscuits,012 - SNACK,,,0.0,,GOLD,,excel
grapes black pnt,Grapes Black pnts,,3.5,,,3.5,,FGR02,pdf
green bar,Green Bar,004 - CLEANING PRODUCTS,,,0.0,,GRN,,excel
green bar perfection,Green Bar Perfection,004 - CLEANING PRODUCTS,1.365,1.3,1.365,,GREE,,excel
green beans,Green Beans,013 - SOUPS,,,0.0,,GREBN,,excel
green beans kg,Green Beans - kg,,2.0,,,2.0,,VGB33,pdf
green beans pnt,Green Beans - pnt,,0.5,,,0.5,,VGB34,pdf
grown ups,Grown ups,003 - CEREALS,2.1,2.0,2.1,,GRW,,excel
hair remover cosmo 40g,Hair Remover Cosmo 40g,005 - COSMETICS,0.525,0.5,0.525,,HAR,,excel
halls,HALLS,012 - SNACK,0.10500000000000001,0.1,0.10500000000000001,,HAL01,,excel
handy andy,Handy Andy,004 - CLEANING PRODUCTS,2.1,2.0,2.1,,HAN,,excel
harpic,Harpic,004 - CLEANING PRODUCTS,2.1,2.0,2.1,,HARP,,excel
hello pack,Hello - Pack,012 - SNACK,,,0.0,,HELPCK,,excel
hello chippa single,Hello/Chippa Single,012 - SNACK,0.525,0.5,0.525,,HELL,,excel
hilife soap,HiLife Soap,019 - TOILETRIES,0.525,0.5,0.525,,HIL,,excel
hoit toity 90mls,Hoit Toity 90mls,005 - COSMETICS,2.1,2.0,2.1,,HOIT,,excel
hoity toity lotion,Hoity Toity Lotion,005 - COSMETICS,3.15,3.0,3.15,,HOITY,,excel
honey 500g,Honey 500g,,2.0,,,2.0,,MHO1,pdf
honey pot mahewu,Honey Pot - Mahewu,002 - BEVERAGES,,,0.0,,HNYPOT,,excel
honey pure 500g 1st grade,Honey Pure - 500g (1st Grade),,4.0,,,4.0,,HONP003,pdf
honeypot,HoneyPot,002 - BEVERAGES,,,0.0,,HNY,,excel
huggies diapers pack,Huggies Diapers - Pack,001 - BABY,11.55,11.0,11.55,,HUGD,,excel
huggies wipes,Huggies Wipes,001 - BABY,2.1,2.0,2.1,,HUGW,,excel
hygienix soap 175g,hygienix Soap 175g,019 - TOILETRIES,0.525,0.5,0.525,,HYG,,excel
ideal whie rice 2kg,Ideal whie Rice 2kg,016 - STARCH,2.1,2.0,2.1,,IDEL,,excel
ideal white rice 5kg,Ideal white Rice 5kg,016 - STARCH,5.46,5.2,5.46,,IDE,,excel
igrams roibos 450ml,Igrams Roibos 450ml,005 - COSMETICS,,,0.0,,INR,,excel
imperial mints,Imperial Mints,012 - SNACK,1.05,1.0,1.05,,IMPR,,excel
inecto super black75g,Inecto Super Black75g,005 - COSMETICS,1.05,1.0,1.05,,ISB,,excel
ingrams aloe 450ml,Ingrams Aloe 450ml,005 - COSMETICS,,,0.0,,INGM,,excel
ingrams herbal,Ingrams Herbal,005 - COSMETICS,2.625,2.5,2.625,,IGM,,excel
