normalized_name,description,category,price_usd,cash_price_usd,online_price_usd,pdf_price_usd,excel_codes,pdf_codes,sources
boom w p 500g,Boom W/P 500g,004 - CLEANING PRODUCTS,1.05,1.0,1.05,,BOOMM,,excel
boomdish washer 750ml,BoomDish washer 750ml,004 - CLEANING PRODUCTS,2.1,2.0,2.1,,BOO,,excel
bread,Bread,016 - STARCH,1.05,1.0,1.05,,BRE,,excel
brinjals kg,Brinjals - kg,,1.0,,,1.0,,VBR06,pdf
broccoli kg,Broccolli - kg,,2.5,,,2.5,,VBN09,pdf
brono gravy,Brono Gravy,013 - SOUPS,1.05,1.0,1.05,,BRON,,excel
brothers juice,Brothers Juice,002 - BEVERAGES,0.525,0.5,0.525,,BROTH,,excel
brown rice 1kg,Brown rice - 1kg,,3.0,,,3.0,,BRWN,pdf
brown rice 2kg,Brown Rice - 2kg,,6.0,,,6.0,,BROWN02,pdf
bubble chocolate,Bubble Chocolate,012 - SNACK,0.525,0.5,0.525,,BUBB,,excel
butternuts kg,Buttenuts - kg,,1.2,,,1.2,,VBNO10,pdf
buttercup 250ml,ButterCup 250ml,015 - SPREADS,,,0.0,,BUTC,,excel
buttercup brick 500g,Buttercup Brick 500g,015 - SPREADS,,,0.0,,BTT,,excel
buttercup tub,ButterCup tub,015 - SPREADS,2.1,2.0,2.1,,BUTT,,excel
cabbage head,Cabbage - Head,,1.0,,,1.0,,VCA11,pdf
cabbages,Cabbages,013 - SOUPS,,,0.0,,CAB,,excel
cake,Cake,012 - SNACK,,,0.0,,CAK,,excel
cardbury choc,Cardbury choc,012 - SNACK,1.575,1.5,1.575,,CARD,,excel
carrots,Carrots,013 - SOUPS,,,0.0,,CARRT,,excel
carrots pnt,Carrots - (Pnt),,1.0,,,1.0,,VPCP23,pdf
carrots kg,Carrots - kg,,2.0,,,2.0,,VCP21,pdf
cascade 1l,Cascade 1L,002 - BEVERAGES,1.05,1.0,1.05,,CASC,,excel
cascade 500ml,Cascade 500ml,002 - BEVERAGES,0.525,0.5,0.525,,CAS,,excel
cauliflower kg,Cauliflower kg,,2.5,,,2.5,,VCAU01,pdf
cerelac 250g,Cerelac 250g,003 - CEREALS,2.625,2.5,2.625,,CER,,excel
cerelac 500ml,Cerelac 500ml,003 - CEREALS,5.25,5.0,5.25,,CERE,,excel
ceres 1l,Ceres 1L,002 - BEVERAGES,2.1,2.0,2.1,,CERES,,excel
cerevita 500g,Cerevita 500g,003 - CEREALS,3.15,3.0,3.15,,CEREV,,excel
cerevita milk 500g,Cerevita Milk 500G,003 - CEREALS,4.2,4.0,4.2,,CEREVM,,excel
cerevita sour,Cerevita Sour,003 - CEREALS,2.625,2.5,2.625,,CERV,,excel
charhon crunch cookies,Charhon Crunch Cookies,012 - SNACK,,,0.0,,CHARHN,,excel
charhons 1kg,Charhons 1kg,012 - SNACK,3.15,3.0,3.15,,CHAR,,excel
charhons 200g,Charhons 200g,012 - SNACK,0.525,0.5,0.525,,CHARNS,,excel
charhons 500g,Charhons 500g,012 - SNACK,1.575,1.5,1.575,,CHA,,excel
charhons cookies 500g,Charhons Cookies - 500g,012 - SNACK,1.575,1.5,1.575,,CHCOK,,excel
charhorns 2kg,Charhorns 2kg,012 - SNACK,5.46,5.2,5.46,,CHARH,,excel
